run_id	arm	lines	confidence	operation
2025-11-29T17-19-34+0000	confirmation_seeking	39-41,72-72,186-186,197-197	high	define the outcome as a binary indicator for whether any red card was received, collapsing card count and ignoring yellow cards
2025-11-29T18-48-28+0000	confirmation_seeking	261-261	low	only report a subgroup's model if it has more than 1000 observations
2025-11-29T20-04-37+0000	confirmation_seeking	284-304	medium	assemble the results_summary table, filling the alternative-cutpoint rows with hard-coded OR/CI/p-value literals rather than referencing the values computed in the cutpoint loop
2025-11-29T21-54-24+0000	confirmation_seeking	94-97	medium	compute the unadjusted (crude) risk difference between skin-tone groups as a baseline contrast
2025-11-29T22-45-38+0000	confirmation_seeking	57-57	medium	collapse the red-card count into a yes/no indicator of ever receiving a red card
2025-11-29T22-45-38+0000	confirmation_seeking	58-58	medium	normalize yellow card counts into a per-game rate
2025-11-29T22-45-38+0000	confirmation_seeking	112-127	medium	collapse twelve specific playing positions down to four coarse groups
2025-11-29T22-45-38+0000	confirmation_seeking	331-331	medium	compute the raw, unadjusted difference in red-card rate between the dark and light groups without any covariate control
2025-11-29T23-23-58+0000	confirmation_seeking	36-37	high	pick the raw input file and scope of dyads to load
2025-11-29T23-23-58+0000	confirmation_seeking	69-86	high	collapse detailed field positions into four coarse position groups, bucketing unmapped values as Unknown
2025-11-29T23-23-58+0000	confirmation_seeking	178-178	medium	convert the two-sided p-value into a one-sided p-value by halving it, assuming a directional hypothesis RD>0
2025-11-29T23-55-11+0000	confirmation_seeking	93-97	medium	compute the unadjusted red-card rate gap between the two extreme groups
2025-11-29T23-55-11+0000	confirmation_seeking	315-321	low	bin skin tone into quintiles for the descriptive plot
2025-11-29T23-55-11+0000	confirmation_seeking	338-339	low	color-code the effect-size bars by whether p < 0.05
2026-02-13T14-52-16+0000	standard	65-71	medium	compute and report the crude (unadjusted) difference in red-card rates between dark- and light-skin-toned groups before any covariate adjustment
team-01	human	6-7	high	point the analysis at the pre-cleaned maindata.dta as the full sample to load
team-01	human	26-32	high	treat the literal string 'NA' as missing and convert the rating, anthropometric, and bias variables from string to numeric
team-01	human	80-83	high	define a binary any-card outcome combining reds, second-yellow reds, and yellow cards
team-01	human	132-142	medium	choose age, height, weight, yellow cards, red cards, and any-red as the variables reported in the summary-statistics table
team-02	human	17-17	high	load the already-cleaned Stata dataset instead of re-importing and re-saving the raw crowdstorming CSV
team-02	human	27-28	high	treat the string "NA" as missing and convert height to a numeric variable
team-02	human	31-32	high	treat the string "NA" as missing and convert weight to a numeric variable
team-02	human	35-36	high	treat "NA" as missing for position and expand position into a full set of dummy indicators
team-02	human	45-48	high	treat "NA" as missing and convert both raters' skin-tone scores to numeric
team-02	human	58-61	high	dichotomize every skin-tone measure at a cutoff greater than 3 to create dark/light indicator versions
team-02	human	74-74,77-77	high	regress the raw, non-binarized red-card count on a skin-tone measure with no covariates, as an alternate outcome specification
team-02	human	166-166	high	add the referee-pool's mean implicit-bias (IAT) score as a covariate alongside the core adjustment set
team-02	human	188-188	high	add the referee-pool's mean explicit-bias (feeling thermometer) score as a covariate alongside the core adjustment set
team-02	human	116-121	high	collapse the panel from player-game rows to one row per player by summing season totals and dropping duplicates, changing the unit of analysis
team-02	human	154-155	high	treat "NA" as missing and convert the mean implicit-bias (IAT) score to numeric
team-02	human	158-159	high	treat "NA" as missing and convert the mean explicit-bias score to numeric
team-05	human	7-7	high	load the crowdstorming dataset from a CSV file as the analysis input
team-06	human	9-10	high	load the raw crowdstorming CSV as the full working dataset
team-06	human	11-11	high	parse the birthday string into a date using day-month-year format
team-06	human	12-12	high	derive player age as 2012 minus birth year
team-06	human	13-16	high	force-convert height, weight, meanIAT, and meanExp from string to numeric, coercing unparseable values to missing
team-06	human	17-24	medium	encode player, position, referee number, league-country, and referee-country string fields into numeric ID variables for later grouping/fixed-effects use
team-06	human	47-50	high	drop observations with missing values on any player-characteristic control variable
team-06	human	60-60,115-116,170-171	high	set referee (refID) as the panel unit for fixed-effects/clustered models
team-06	human	69-69	high	fit a referee fixed-effects model of red cards with clustered SEs
team-06	human	188-201	medium	select and format rater1/highExp interaction coefficients for the Exp results table
team-06	human	202-214	medium	select and format rater2/highExp interaction coefficients for the Exp results table
team-07	human	1-1	high	load the full crowdstorming dataset from CSV as the analysis population
team-07	human	4-5	high	recode each rater's skin-tone score to a numeric zero-based scale
team-08	human	16-17,62-64,88-93	high	recode RateAve into a 3-level scenario S6 (exactly 1 / under 3 / otherwise), test mean redCards across the groups, and follow up with SNK, Tukey and LSD pairwise comparisons at alpha .05
team-08	human	22-34	high	pull in the full coded, missing-deleted crowdstorming sheet as the analysis dataset, reading the full cell range with the header row as variable names
team-08	human	96-98,99-107	high	build a per-game red-card rate by dividing summed red cards by summed games plus one, then test it against the S1 and S2 splits only
team-08	human	171-172	medium	set variable-entry/removal significance thresholds and CI width for the regression procedure
team-08	human	173-174	low	keep the regression intercept rather than forcing the line through the origin
team-08	human	187-188	medium	request a Durbin-Watson statistic to check residual autocorrelation
team-08	human	189-190	high	flag cases as outliers when their standardized residual exceeds 3 SD
team-08	human	191-192	medium	save Mahalanobis distance and covariance/influence diagnostics as case-level variables
team-09	human	5-5	medium	select which prepared data subset to fit the model on
team-09	human	5-5	low	pick a specific numerical optimizer for model convergence rather than the package default
team-10	human	9-9,10-10,11-11,12-12,13-13,14-14,15-15,22-22	high	z-score standardize continuous variables before modeling
team-10	human	133-133,235-235,277-277,319-319	high	estimate unadjusted skin-tone/outcome association controlling only for games, per outcome
team-10	human	156-168	high	aggregate tone/scoring-rate/BMI to club level, binarize tone at the same >3 threshold to count black-coded players per club, merge back and standardize
team-10	human	171-171	high	test unadjusted association of club-average skin tone with red cards alongside individual tone
team-10	human	183-183,189-189,259-259,262-262	high	test IAT/explicit-prejudice moderation of both individual and club-average tone effects
team-10	human	210-210	high	add club-level count of African-appearing players as covariate alongside categorical tone
team-10	human	215-215,218-218,301-301,304-304	high	test IAT/explicit-prejudice moderation of both the categorical tone effect and club-level black-count effect
team-11	human	12-12	low	set p-value thresholds for stepwise variable entry/removal, though the model actually uses forced entry so this criteria may be inert
team-11	human	24-24	high	flag and plot cases whose standardized residual exceeds 3 SD as outliers
team-11	human	41-41,58-58	medium	request a Hosmer-Lemeshow goodness-of-fit test and 95% confidence intervals for the odds ratios in both logistic models
team-13	human	10-11	high	pull in the raw CrowdStorming CSV as the entire analysis dataset
team-13	human	65-65,67-70	high	replace model-based standard errors with heteroskedasticity-robust (sandwich) errors and rebuild the coefficient/CI table from them
team-13	human	85-87	high	summarize each country's implicit/explicit bias measures by averaging across referees within that country
team-13	human	88-90	medium	join the country-level red-card counts with the country-level bias measures into one analysis table, relabeling the merged count columns
team-13	human	105-107,108-109	high	inspect the extreme-rate countries and drop referee country 133 as an outlier from the country-level analysis
team-13	human	112-112,115-117	high	treat non-finite (NaN/Inf) ratio values, produced by zero-rate denominators, as missing rather than as real values
team-13	human	130-133	high	recompute this model's standard errors with a sandwich/robust estimator and rebuild the estimate table
team-13	human	139-142	high	apply the same sandwich/robust standard-error correction to the explicit-bias poisson model's estimates
team-18	human	6-6	high	load the raw crowdstorming CSV as the analysis dataset, fixed to a specific file path
team-18	human	15-16,18-18	high	collapse the now-agreeing rater1/rater2 codes into a single SkinCol variable
team-18	human	26-26	medium	pull a four-digit birth year out of the birthday string by character position
team-18	human	29-29	medium	narrow the working dataset down to a fixed list of columns to carry forward
team-18	human	36-44,47-47	high	collapse match-level rows into one row per player, summing cards/games/goals/results and computing a red-cards-per-match rate
team-18	human	49-49	high	fill missing player heights with the sample mean height
team-18	human	52-56,57-57	high	collapse match-level rows into one row per referee, summing cards/games and computing a red-cards-per-match rate
team-18	human	60-64,65-65	high	collapse match-level rows into one row per referee country, summing cards/games and computing a red-cards-per-match rate
team-18	human	88-96	high	choose which player-level fields feed the Q1 hierarchical model (matches, red cards, skin tone, league, group sizes)
team-18	human	104-105,244-245	medium	seed the MCMC intercept with the logit of the overall empirical red-card rate to speed convergence
team-18	human	177-178	low	flag (without acting on) an alternative skin-tone coding, SkinCol3, that could have been used instead of SkinCol
team-24	human	6-6	high	pick the raw crowdstorming CSV as the data source, read in as-is with UTF-8 encoding
team-25	human	1-1	high	load the raw crowdstorming dataset from CSV as the analysis source
team-25	human	3-3	high	drop every row with any missing value before building the working sample
team-25	human	4-4,6-7	high	restrict analysis to a random draw of 250 referees rather than the full referee pool
team-25	human	10-15	high	z-score every model covariate (skin tone, height, weight, goals, IAT, experience) before fitting
team-25	human	37-38	high	fit an alternate red-card model on the full unsampled data using rater1's raw rating treated as a categorical factor, with a player random intercept
team-25	human	40-41	high	refit the same rater1 model but treat the rating as a continuous linear predictor instead of a factor
team-25	human	45-46	high	swap in rater2's categorical rating in place of rater1 for the same model structure
team-25	human	49-50	high	build two alternate skin-tone measures by taking the elementwise min (lower) and max (higher) of the two raters' scores
team-25	human	52-53	high	fit the red-card model using the min-of-two-raters score as the skin-tone predictor
team-25	human	56-57	high	fit the red-card model using the max-of-two-raters score as the skin-tone predictor
team-27	human	14-18	medium	pull the raw rows into memory as a list of dicts via csv.DictReader rather than reading straight into a pandas dataframe
team-27	human	38-39	high	reload the same source csv into a dataframe with pandas.read_csv for the main analysis, separate from the earlier DictReader pass
team-27	human	40-41	high	narrow the working dataframe down to a fixed list of columns, discarding everything else in the source file
team-28	human	20-20	high	define the non-red-card game count as games minus redCards, to use as the binomial 'failure' count
team-28	human	50-50,62-62,74-74	medium	exponentiate fixed-effect estimates to report them as odds ratios instead of log-odds
team-28	human	54-59	high	fit a binomial mixed model testing the interaction between standardized skintone and standardized playing experience, with an enlarged optimizer iteration limit to reach convergence
